rule_id,priority,form_pattern,lemma_pattern,ud_upos_pattern,ud_deprel_pattern,ud_feats_pattern,ud_head_lemma_pattern,ud_head_upos_pattern,ud_head_feats_pattern,br_cat,br_subtype,needs_review,notes
there-expletive,500,*,there,PRON,expl,*,*,*,*,pronoun,expletive,false,Expletive there is treated as a pronoun.
preposition-there-locative,495,*,there,PRON,*,*,*,*,*,preposition,intransitive,false,Non-existential there is treated as an intransitive preposition; expletive there is handled separately.
there-review,490,*,there,PRON,*,*,*,*,*,pronoun,there_form,true,Non-expletive there is deferred to later cleanup.
negative-enclitic-nt,480,n't|n’t|nt,not,PART,*,*,*,*,*,morpheme,negative_enclitic,false,Contracted n't is treated as a negative morpheme rather than a separate word.
determiner-articles,450,*,a|an|the,DET,*,*,*,*,*,determinative,article,false,Articles are determinatives.
determiner-foreign-une,449,Une|une,une,DET,det,*Foreign=Yes*,*,X,*,determinative,article,false,Foreign-language une is treated as an article-like determinative when UD tags it as DET before an X head.
foreign-name-mat-review,448,Mat,Mat,DET,det,*,Fereder,X,*,x,foreign_component,true,Mat in the quoted foreign string Mat Fereder is not treated as a determinative.
determiner-quantificational,440,*,all|another|any|both|each|either|every|few|many|more|most|neither|no|none|some,DET|PRON,*,*,*,*,*,determinative,quantificational,false,Quantificational determinatives keep their category in headed and headless uses.
determiner-quantificational-marker-cconj,439,*,both|either|neither,CCONJ,*,*,*,*,*,determinative,quantificational,false,Marker-like uses of both either and neither remain determinatives even when UD tags them as CCONJ.
determiner-quantificational-marker-adv,438,*,both|either|neither,ADV,*,*,*,*,*,determinative,quantificational,false,Marker-like uses of both either and neither remain determinatives even when UD tags them as ADV.
numerative-half-noun,439,*,half,DET|PRON|ADJ|NOUN,*,*,*,*,*,noun,fractional,false,Half is treated as a noun, including uses UD tags as DET or ADJ.
numerative-cardinal-factor,437,*,zero|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|twenty-one|twenty-two|twenty-three|twenty-four|twenty-five|twenty-six|twenty-seven|twenty-eight|twenty-nine|thirty-one|thirty-two|thirty-three|thirty-four|thirty-five|thirty-six|thirty-seven|thirty-eight|thirty-nine|forty-one|forty-two|forty-three|forty-four|forty-five|forty-six|forty-seven|forty-eight|forty-nine|fifty-one|fifty-two|fifty-three|fifty-four|fifty-five|fifty-six|fifty-seven|fifty-eight|fifty-nine|sixty-one|sixty-two|sixty-three|sixty-four|sixty-five|sixty-six|sixty-seven|sixty-eight|sixty-nine|seventy-one|seventy-two|seventy-three|seventy-four|seventy-five|seventy-six|seventy-seven|seventy-eight|seventy-nine|eighty-one|eighty-two|eighty-three|eighty-four|eighty-five|eighty-six|eighty-seven|eighty-eight|eighty-nine|ninety-one|ninety-two|ninety-three|ninety-four|ninety-five|ninety-six|ninety-seven|ninety-eight|ninety-nine,NUM,compound,*NumType=Card*,hundred|thousand|million|billion|trillion,NUM,*,determinative,cardinal_factor,false,Word-form cardinal factors in magnitude constructions are determinatives functioning as modifiers.
numerative-cardinal-determiner,436,*,zero|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|twenty-one|twenty-two|twenty-three|twenty-four|twenty-five|twenty-six|twenty-seven|twenty-eight|twenty-nine|thirty-one|thirty-two|thirty-three|thirty-four|thirty-five|thirty-six|thirty-seven|thirty-eight|thirty-nine|forty-one|forty-two|forty-three|forty-four|forty-five|forty-six|forty-seven|forty-eight|forty-nine|fifty-one|fifty-two|fifty-three|fifty-four|fifty-five|fifty-six|fifty-seven|fifty-eight|fifty-nine|sixty-one|sixty-two|sixty-three|sixty-four|sixty-five|sixty-six|sixty-seven|sixty-eight|sixty-nine|seventy-one|seventy-two|seventy-three|seventy-four|seventy-five|seventy-six|seventy-seven|seventy-eight|seventy-nine|eighty-one|eighty-two|eighty-three|eighty-four|eighty-five|eighty-six|eighty-seven|eighty-eight|eighty-nine|ninety-one|ninety-two|ninety-three|ninety-four|ninety-five|ninety-six|ninety-seven|ninety-eight|ninety-nine|hundred|thousand|million|billion|trillion,NUM,nummod,*NumType=Card*,*,*,*,determinative,cardinal,false,Word-form cardinals in determiner function are determinatives.
numerative-cardinal-fused-head,435,*,zero|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|twenty-one|twenty-two|twenty-three|twenty-four|twenty-five|twenty-six|twenty-seven|twenty-eight|twenty-nine|thirty-one|thirty-two|thirty-three|thirty-four|thirty-five|thirty-six|thirty-seven|thirty-eight|thirty-nine|forty-one|forty-two|forty-three|forty-four|forty-five|forty-six|forty-seven|forty-eight|forty-nine|fifty-one|fifty-two|fifty-three|fifty-four|fifty-five|fifty-six|fifty-seven|fifty-eight|fifty-nine|sixty-one|sixty-two|sixty-three|sixty-four|sixty-five|sixty-six|sixty-seven|sixty-eight|sixty-nine|seventy-one|seventy-two|seventy-three|seventy-four|seventy-five|seventy-six|seventy-seven|seventy-eight|seventy-nine|eighty-one|eighty-two|eighty-three|eighty-four|eighty-five|eighty-six|eighty-seven|eighty-eight|eighty-nine|ninety-one|ninety-two|ninety-three|ninety-four|ninety-five|ninety-six|ninety-seven|ninety-eight|ninety-nine|hundred|thousand|million|billion|trillion,NUM,*,*NumType=Card*,*,*,*,determinative,cardinal_fused_head,false,Word-form cardinals outside simple determiner position are treated as fused-head determinatives unless a narrower rule applies.
numerative-cardinal-fused-head-one-of-pron,434,*,one,PRON,*,*NextLemma=of*,*,*,*,determinative,cardinal_fused_head,false,PRON one followed by of is treated as a cardinal fused-head determinative in partitives.
pronoun-one-reciprocal,436,*,one,PRON,*,*PronType=Rcp*,*,*,*,pronoun,reciprocal,false,Reciprocal one in one another remains a pronoun.
pronoun-one-negative,435,*,one,PRON,*,*PronType=Neg*,*,*,*,pronoun,negative,false,Negative one in no one remains a pronoun.
pronoun-generic-one,434,*,one,PRON,*,*PronType=Prs*,*,*,*,pronoun,generic,false,Generic one remains a pronoun rather than a numerative.
pronoun-generic-one-bare,433,*,one,PRON,*,*XPOS=PRP*,*,*,*,pronoun,generic,false,Bare PRON/PRP one is treated as a generic pronoun when UD omits PronType=Prs.
determiner-demonstrative-headed,430,*,this|that|these|those,DET,*,*,*,*,*,determinative,demonstrative,false,Headed demonstratives are determinatives.
determiner-demonstrative-yonder,429,*,yonder,DET,*,*,*,*,*,determinative,demonstrative,false,Yonder in determiner use is treated as a demonstrative determinative.
subordinator-relative-that-ref,426,*,that,PRON,*,*XPOS=IN;HasRef=yes*,*,*,*,subordinator,relative,false,Relative that is a subordinator when UD omits PronType=Rel but enhanced dependencies still mark a ref relation.
subordinator-relative-that,425,*,that,PRON,*,*PronType=Rel*,*,*,*,subordinator,relative,false,Relative that is a subordinator, not a pronoun or determinative.
subordinator-relative-that-relcl,424,*,that,PRON,*,*,*,*,*HeadDeprel=acl:relcl*|*GrandparentDeprel=acl:relcl*,subordinator,relative,false,Relative that in acl:relcl structure is a subordinator even when UD omits or mangles PronType.
determiner-demonstrative-headless,420,*,this|that|these|those,PRON,*,*,*,*,*,determinative,demonstrative_head,false,Headless demonstratives are determinatives once relative that has been handled by higher-priority rules.
determiner-wh-headed,410,*,what|which,DET,*,*,*,*,*,determinative,interrogative,false,Headed what and which are interrogative determinatives.
determiner-wh-headless-relative-relcl,401,*,which,PRON,*,*,*,*,*HeadDeprel=acl:relcl*|*GrandparentDeprel=acl:relcl*,determinative,fused_head,false,Relative which in acl:relcl structure is treated as a fused-head determinative when UD omits PronType.
determiner-wh-headless,400,*,what|which,PRON,*,*PronType=Int*|*PronType=Rel*,*,*,*,determinative,fused_head,false,Headless or interrogative what and which are treated as determinatives in the MVP.
coordinator-and,399,*,and,CCONJ,cc,*,*,*,*,coordinator,additive,false,And is a clear coordinator.
coordinator-but,398,*,but,CCONJ,cc,*,*,*,*,coordinator,adversative,false,But is a clear coordinator.
coordinator-or-nor,397,*,or|nor,CCONJ,cc,*,*,*,*,coordinator,disjunctive,false,Or and nor are clear coordinators.
coordinator-plus,396,*,plus,CCONJ,cc,*,*,*,*,coordinator,additive,false,Plus is treated as a coordinator when UD tags it as CCONJ.
coordinator-slash,395,*,/,SYM,cc,*,*,*,*,coordinator,disjunctive,false,Slash is treated as a coordinator when UD uses it as a cc marker.
subordinator-for-infinitival,394,*,for,SCONJ,mark,*,*,VERB,*VerbForm=Inf*,subordinator,infinitival,false,For marking an infinitival clause is treated as a subordinator.
preposition-sconj-so,393,*,so,SCONJ,*,*,*,*,*,preposition,clausal,false,UD SCONJ so in purpose or result use is treated as a preposition taking a clausal complement.
subordinator-sconj-that,393,*,that,SCONJ,*,*,*,*,*,subordinator,declarative,false,UD SCONJ that is treated as a subordinator rather than a preposition.
preposition-yonder,392,*,yonder,ADV|PRON|ADP,*,*,*,*,*,preposition,intransitive,false,Yonder outside determiner use is treated as an intransitive preposition.
preposition-where-pron,392,*,where,PRON,*,*,*,*,*,preposition,intransitive,false,Locative where is treated as an intransitive preposition rather than a pronoun.
preposition-when-pron,392,*,when,PRON,*,*,*,*,*,preposition,intransitive,false,Temporal when is treated as an intransitive preposition rather than a pronoun.
subordinator-whether,392,*,whether,SCONJ,*,*,*,*,*,subordinator,interrogative,false,UD SCONJ whether is treated as a subordinator rather than a preposition.
subordinator-if-complement,391,*,if,SCONJ,mark,*,*,*,*HeadDeprel=ccomp*,subordinator,interrogative,false,UD SCONJ if is treated as a subordinator in clear complement-clause uses.
subordinator-if-complement-conj,391,*,if,SCONJ,mark,*,*,*,*HeadDeprel=conj;GrandparentDeprel=ccomp*,subordinator,interrogative,false,UD SCONJ if is treated as a subordinator in coordinated complement-clause uses.
preposition-sconj,391,*,*,SCONJ,*,*,*,*,*,preposition,clausal,false,UD SCONJ items other than the explicit subordinator class are treated as prepositions taking clausal complements.
preposition-intransitive-adv,391,*,there|here|away|home|outside|inside|abroad|overseas|west|east|north|south|indoors|outdoors|nearby|downstairs|upstairs|underneath|aboard|aside|across|behind|below|above|back|about|up|down|on|off|around|overhead|within|without|throughout|alongside|past,ADV,*,*,*,*,*,preposition,intransitive,false,ADV-tagged items in the intransitive-preposition set are treated as prepositions rather than adverbs.
verb-infinitival-to,390,*,to,PART,*,*,*,*,*,verb,auxiliary_infinitival,false,Infinitival to is treated as a highly defective auxiliary verb.
pronoun-possessive-dependent-det,389,my|your|his|her|its|our|their|whose|thy,*,DET,*,*,*,*,*,pronoun,possessive,false,UD sometimes tags dependent possessives as DET; they remain pronouns in the target analysis.
pronoun-possessive-her-dependent,389,*,her,PRON,nmod:poss,*,*,*,*,pronoun,possessive,false,Dependent possessive her remains pronoun in determiner function.
pronoun-possessive,380,*,my|your|his|its|our|their|whose|mine|yours|hers|ours|theirs|thy|thine,PRON,*,*,*,*,*,pronoun,possessive,false,Possessive pronouns remain pronouns.
numerative-ordinal-adjective,370,*,first|second|third|fourth|fifth|sixth|seventh|eighth|ninth|tenth|eleventh|twelfth|thirteenth|fourteenth|fifteenth|sixteenth|seventeenth|eighteenth|nineteenth|twentieth|thirtieth|fortieth|fiftieth|sixtieth|seventieth|eightieth|ninetieth|twenty-first|twenty-second|twenty-third|twenty-fourth|twenty-fifth|twenty-sixth|twenty-seventh|twenty-eighth|twenty-ninth|thirty-first|thirty-second|thirty-third|thirty-fourth|thirty-fifth|thirty-sixth|thirty-seventh|thirty-eighth|thirty-ninth|forty-first|forty-second|forty-third|forty-fourth|forty-fifth|forty-sixth|forty-seventh|forty-eighth|forty-ninth|fifty-first|fifty-second|fifty-third|fifty-fourth|fifty-fifth|fifty-sixth|fifty-seventh|fifty-eighth|fifty-ninth|sixty-first|sixty-second|sixty-third|sixty-fourth|sixty-fifth|sixty-sixth|sixty-seventh|sixty-eighth|sixty-ninth|seventy-first|seventy-second|seventy-third|seventy-fourth|seventy-fifth|seventy-sixth|seventy-seventh|seventy-eighth|seventy-ninth|eighty-first|eighty-second|eighty-third|eighty-fourth|eighty-fifth|eighty-sixth|eighty-seventh|eighty-eighth|eighty-ninth|ninety-first|ninety-second|ninety-third|ninety-fourth|ninety-fifth|ninety-sixth|ninety-seventh|ninety-eighth|ninety-ninth,ADJ,*,*NumType=Ord*,*,*,*,adjective,ordinal,false,Ordinals are adjectives in the target analysis.
numerative-fractional-noun,369,*,half|quarter|third|fourth|fifth|sixth|seventh|eighth|ninth|tenth|eleventh|twelfth|thirteenth|fourteenth|fifteenth|sixteenth|seventeenth|eighteenth|nineteenth|twentieth|thirtieth|fortieth|fiftieth|sixtieth|seventieth|eightieth|ninetieth|twenty-first|twenty-second|twenty-third|twenty-fourth|twenty-fifth|twenty-sixth|twenty-seventh|twenty-eighth|twenty-ninth|thirty-first|thirty-second|thirty-third|thirty-fourth|thirty-fifth|thirty-sixth|thirty-seventh|thirty-eighth|thirty-ninth|forty-first|forty-second|forty-third|forty-fourth|forty-fifth|forty-sixth|forty-seventh|forty-eighth|forty-ninth|fifty-first|fifty-second|fifty-third|fifty-fourth|fifty-fifth|fifty-sixth|fifty-seventh|fifty-eighth|fifty-ninth|sixty-first|sixty-second|sixty-third|sixty-fourth|sixty-fifth|sixty-sixth|sixty-seventh|sixty-eighth|sixty-ninth|seventy-first|seventy-second|seventy-third|seventy-fourth|seventy-fifth|seventy-sixth|seventy-seventh|seventy-eighth|seventy-ninth|eighty-first|eighty-second|eighty-third|eighty-fourth|eighty-fifth|eighty-sixth|eighty-seventh|eighty-eighth|eighty-ninth|ninety-first|ninety-second|ninety-third|ninety-fourth|ninety-fifth|ninety-sixth|ninety-seventh|ninety-eighth|ninety-ninth,DET|ADJ|NOUN,*,*NumType=Frac*,*,*,*,noun,fractional,false,Fractionals are nouns in the target analysis even when UD assigns a different category.
pronoun-personal,368,*,i|you|he|she|it|we|they|me|him|her|us|them|thou|thee|ye|y'all|s/he,PRON,*,*,*,*,*,pronoun,personal,false,Core personal pronouns plus archaic or dialectal variants.
pronoun-reflexive,360,*,myself|yourself|yourselves|himself|herself|itself|ourselves|themselves|oneself,PRON,*,*,*,*,*,pronoun,reflexive,false,Reflexive pronouns.
noun-self-compound-initial,359,self,self,PRON,compound,*NextLemma=-*,*,ADJ|NOUN,*,noun,self_compound_initial,false,Tokenized self in self-compounds is treated as a nounal compound initial rather than a pronoun.
pronoun-wh,350,*,who|whom|whoever|whomever|whosoever,PRON,*,*,*,*,*,pronoun,wh,false,Canonical wh-pronouns.
coordinator-yet,349,*,yet,CCONJ,cc,*,*,*,*,coordinator,adversative,false,UD coordinator-like yet is treated as an adversative coordinator.
coordinator-as-well-as,348,*,as,ADV,cc,*ExtPos=CCONJ*,*,*,*,coordinator,additive,false,UD coordinator-like as well as is treated as an additive coordinator.
preposition-along-with-mark,347,*,along,ADP,mark,*NextLemma=with*,*,*,*,preposition,clausal,false,Along with introducing a clause is treated as a preposition with a clausal complement.
preposition-along-with-case,346,*,along,ADP,case,*NextLemma=with*,*,*,*,preposition,complex_with,false,Along with introducing an NP is treated as a complex preposition.
coordinator-rather-than-cc,346,*,rather,ADV,cc,*ExtPos=CCONJ*,*,*,*,coordinator,rather_than,false,UD coordinator-like rather than is treated as a coordinator in alternation/preference uses.
preposition-rather-than-mark,345,*,rather,ADV,mark,*ExtPos=SCONJ*,*,*,*,preposition,clausal,false,Clause-marking rather than is treated as a preposition with a clausal complement.
coordinator-et-al,344,*,et,X,cc,*NextLemma=al*,*,*,*,coordinator,additive,false,Et in et al. is treated as an additive coordinator.
determiner-indefinite,340,*,anyone|anybody|someone|somebody|everyone|everybody|something|anything|nothing|everything|nobody|no-one,PRON,*,*,*,*,*,determinative,indefinite,false,Indefinite items like someone and nothing are treated as determinatives rather than pronouns.
adjective-other,339,other,*,DET|PRON,*,*,*,*,*,adjective,other,false,Other is treated as an adjective rather than a determinative.
adjective-such,339,*,such,DET|PRON,*,*,*,*,*,adjective,such,false,Such is treated as an adjective rather than a determinative.
determiner-whichever,339,*,whichever,DET|PRON,*,*,*,*,*,determinative,whichever,false,Whichever is treated as a determinative across headed and fused-head uses.
determiner-whatever,330,*,whatever,DET|PRON,*,*,*,*,*,determinative,whatever,false,Whatever is treated as a determinative across headed and fused-head uses.
determiner-dialectal-them,315,*,them,DET,det,*,*,*,*,determinative,demonstrative,false,Dialectal them in determiner function is treated as a determinative.
adverb-quite,310,*,quite,DET,*,*,*,*,*,adverb,degree,false,DET-tagged quite is treated as an adverb; predeterminer is a function, not a lexical category.
determiner-expressive-wtf,305,*,wtf,PRON,*,*,*,*,*,determinative,fused_head,false,Wtf is treated as an orthographic reduction of headless interrogative what the fuck.
determiner-whatever-mseg,309,*,*,DET|PRON,*,*MSeg=what-ever*,*,*,*,determinative,whatever,false,Delexicalized segmented what-ever can be recovered as determinative whatever.
pronoun-wh-relative-ref-structural,308,*,*,PRON,*,*XPOS=WP;Len=3;HasRef=yes*|*XPOS=WP;Len=4;HasRef=yes*,*,*,*,pronoun,wh,false,Delexicalized relative who and whom can be recovered from WP length plus ref dependency.
subordinator-relative-that-structural,307,*,*,PRON,*,*XPOS=WDT;Len=4;HasRef=yes*,*,*,*,subordinator,relative,false,Delexicalized relative that can be recovered from WDT length plus ref dependency.
determiner-wh-headless-relative-structural,306,*,*,PRON,*,*XPOS=WDT;Len=5;HasRef=yes*,*,*,*,determinative,fused_head,false,Delexicalized relative which can be recovered from WDT length plus ref dependency.
pronoun-possessive-structural,304,*,*,PRON,*,*Poss=Yes*,*,*,*,pronoun,possessive,false,Delexicalized possessive pronouns can be recovered structurally from Poss=Yes features.
pronoun-reflexive-structural,303,*,*,PRON,*,*Reflex=Yes*,*,*,*,pronoun,reflexive,false,Delexicalized reflexive pronouns can be recovered structurally from Reflex=Yes features.
pronoun-expletive-structural,302,*,*,PRON,expl,*,*,*,*,pronoun,expletive,false,Delexicalized expletive pronouns can be recovered structurally from expl dependency.
determiner-articles-structural,301,*,*,DET,*,*PronType=Art*,*,*,*,determinative,article,false,Delexicalized articles can be recovered structurally from PronType=Art.
determiner-demonstrative-headed-structural,300,*,*,DET,*,*PronType=Dem*,*,*,*,determinative,demonstrative,false,Delexicalized headed demonstratives can be recovered structurally from PronType=Dem on DET.
determiner-demonstrative-headless-structural,299,*,*,PRON,*,*PronType=Dem*,*,*,*,determinative,demonstrative_head,false,Delexicalized headless demonstratives can be recovered structurally from PronType=Dem on PRON.
determiner-quantificational-structural,298,*,*,DET,*,*PronType=Ind*|*PronType=Neg*|*PronType=Tot*,*,*,*,determinative,quantificational,false,Delexicalized determinatives with quantificational PronType features can be recovered structurally.
determiner-wh-headed-structural,297,*,*,DET,*,*PronType=Int*|*PronType=Rel*,*,*,*,determinative,interrogative,false,Delexicalized headed wh-determinatives can be recovered structurally.
pronoun-personal-structural,296,*,*,PRON,*,*PronType=Prs*,*,*,*,pronoun,personal,false,Delexicalized personal pronouns can be recovered structurally from PronType=Prs when no lexical rule applies.
determiner-indefinite-structural,295,*,*,PRON,*,*PronType=Ind*|*PronType=Neg*|*PronType=Tot*,*,*,*,determinative,indefinite,false,Delexicalized indefinite determinatives can be recovered structurally from PronType features.
fallback-pronoun,100,*,*,PRON,*,*,*,*,*,pronoun,other,true,Catch-all PRON fallback for the pilot.
fallback-determinative,90,*,*,DET,*,*,*,*,*,determinative,other,true,Catch-all DET fallback for the pilot.
